,semiotic-class,accuracy,count,correct
0,ALL,0.9953272544374858,92451,92019
1,ADDRESS,1.0,4,4
2,CARDINAL,0.991321118611379,1037,1028
3,DATE,0.9975282485875706,2832,2825
4,DECIMAL,1.0,92,92
5,DIGIT,0.8636363636363636,44,38
6,ELECTRONIC,0.0,49,0
7,FRACTION,0.625,16,10
8,LETTERS,0.9318665720369056,1409,1313
9,MEASURE,0.971830985915493,142,138
10,MONEY,0.9459459459459459,37,35
11,ORDINAL,0.9514563106796117,103,98
12,PLAIN,0.99839455621999,67894,67785
13,PUNCT,0.999549194184605,17746,17738
14,TELEPHONE,0.918918918918919,37,34
15,TIME,0.75,8,6
16,VERBATIM,0.8741258741258742,1001,875
