sentence_id,token_id,semiotic,before,class,after
0,0,PLAIN,It,RemainSelf,It
0,1,PLAIN,can,RemainSelf,can
0,2,PLAIN,be,RemainSelf,be
0,3,PLAIN,summarized,RemainSelf,summarized
0,4,PLAIN,as,RemainSelf,as
0,5,PLAIN,an,RemainSelf,an
0,6,PUNCT,"""",RemainSelf,""""
0,7,PLAIN,error,RemainSelf,error
0,8,PLAIN,driven,RemainSelf,driven
0,9,PLAIN,transformation,RemainSelf,transformation
0,10,PLAIN,based,RemainSelf,based
0,11,PLAIN,tagger,RemainSelf,tagger
0,12,PUNCT,"""",RemainSelf,""""
0,13,PUNCT,.,RemainSelf,.
1,0,PLAIN,This,RemainSelf,This
1,1,PLAIN,plan,RemainSelf,plan
1,2,PLAIN,was,RemainSelf,was
1,3,PLAIN,first,RemainSelf,first
1,4,PLAIN,enacted,RemainSelf,enacted
1,5,PLAIN,in,RemainSelf,in
1,6,DATE,1984,ToBeNormalized,nineteen eighty four
1,7,PLAIN,and,RemainSelf,and
1,8,PLAIN,continued,RemainSelf,continued
1,9,PLAIN,to,RemainSelf,to
1,10,PLAIN,be,RemainSelf,be
1,11,PLAIN,followed,RemainSelf,followed
1,12,PLAIN,for,RemainSelf,for
1,13,CARDINAL,19,ToBeNormalized,nineteen
1,14,PLAIN,years,RemainSelf,years
1,15,PUNCT,.,RemainSelf,.
2,0,PLAIN,She,RemainSelf,She
2,1,PLAIN,then,RemainSelf,then
2,2,PLAIN,compelled,RemainSelf,compelled
2,3,PLAIN,her,RemainSelf,her
2,4,PLAIN,tenants,RemainSelf,tenants
2,5,PLAIN,to,RemainSelf,to
2,6,PLAIN,level,RemainSelf,level
2,7,PLAIN,the,RemainSelf,the
2,8,PLAIN,Royalist,RemainSelf,Royalist
2,9,PLAIN,siege,RemainSelf,siege
2,10,PLAIN,earthworks,RemainSelf,earthworks
2,11,PUNCT,.,RemainSelf,.
3,0,PUNCT,"""",RemainSelf,""""
3,1,PLAIN,Kankakee,RemainSelf,Kankakee
3,2,PLAIN,mallow,RemainSelf,mallow
3,3,PLAIN,emerges,RemainSelf,emerges
3,4,PUNCT,"""",RemainSelf,""""
3,5,PUNCT,.,RemainSelf,.
4,0,PLAIN,Papers,RemainSelf,Papers
4,1,PLAIN,from,RemainSelf,from
4,2,PLAIN,the,RemainSelf,the
4,3,PLAIN,American,RemainSelf,American
4,4,PLAIN,Indian,RemainSelf,Indian
4,5,PLAIN,Languages,RemainSelf,Languages
4,6,PLAIN,Conferences,RemainSelf,Conferences
4,7,PUNCT,",",RemainSelf,","
4,8,PLAIN,held,RemainSelf,held
4,9,PLAIN,at,RemainSelf,at
4,10,PLAIN,the,RemainSelf,the
4,11,PLAIN,University,RemainSelf,University
4,12,PLAIN,of,RemainSelf,of
4,13,PLAIN,California,RemainSelf,California
4,14,PUNCT,",",RemainSelf,","
4,15,PLAIN,Santa,RemainSelf,Santa
4,16,PLAIN,Cruz,RemainSelf,Cruz
4,17,PUNCT,",",RemainSelf,","
4,18,PLAIN,July,RemainSelf,July
4,19,PLAIN,and,RemainSelf,and
4,20,DATE,August 1991,ToBeNormalized,august nineteen ninety one
4,21,PUNCT,.,RemainSelf,.
5,0,PLAIN,China,RemainSelf,China
5,1,PLAIN,Auto,RemainSelf,Auto
5,2,PLAIN,Web,RemainSelf,Web
5,3,PUNCT,.,RemainSelf,.
6,0,DATE,"January 22, 2001",ToBeNormalized,january twenty second two thousand one
6,1,PUNCT,.,RemainSelf,.
7,0,PLAIN,The,RemainSelf,The
7,1,PLAIN,complex,RemainSelf,complex
7,2,PLAIN,is,RemainSelf,is
7,3,PLAIN,not,RemainSelf,not
7,4,PLAIN,homogeneous,RemainSelf,homogeneous
7,5,PUNCT,.,RemainSelf,.
8,0,PLAIN,He,RemainSelf,He
8,1,PLAIN,registered,RemainSelf,registered
8,2,CARDINAL,35,ToBeNormalized,thirty five
8,3,PLAIN,caps,RemainSelf,caps
8,4,PLAIN,for,RemainSelf,for
8,5,PLAIN,his,RemainSelf,his
8,6,PLAIN,country,RemainSelf,country
8,7,PUNCT,",",RemainSelf,","
8,8,PLAIN,scoring,RemainSelf,scoring
8,9,PLAIN,three,RemainSelf,three
8,10,PLAIN,goals,RemainSelf,goals
8,11,PUNCT,.,RemainSelf,.
9,0,PLAIN,His,RemainSelf,His
9,1,PLAIN,contract,RemainSelf,contract
9,2,PLAIN,will,RemainSelf,will
9,3,PLAIN,be,RemainSelf,be
9,4,PLAIN,until,RemainSelf,until
9,5,DATE,June 2015,ToBeNormalized,june twenty fifteen
9,6,PUNCT,.,RemainSelf,.
10,0,PLAIN,One,RemainSelf,One
10,1,PLAIN,is,RemainSelf,is
10,2,PLAIN,the,RemainSelf,the
10,3,PLAIN,superior,RemainSelf,superior
10,4,PLAIN,colliculus,RemainSelf,colliculus
10,5,PUNCT,",",RemainSelf,","
10,6,PLAIN,from,RemainSelf,from
10,7,PLAIN,the,RemainSelf,the
10,8,PLAIN,nigra,RemainSelf,nigra
10,9,PLAIN,lateralis,RemainSelf,lateralis
10,10,PUNCT,.,RemainSelf,.
11,0,PLAIN,Islamic,RemainSelf,Islamic
11,1,PLAIN,Republic,RemainSelf,Republic
11,2,PLAIN,of,RemainSelf,of
11,3,PLAIN,Iran,RemainSelf,Iran
11,4,PUNCT,.,RemainSelf,.
12,0,PLAIN,Bavarian,RemainSelf,Bavarian
12,1,PLAIN,Auto,RemainSelf,Auto
12,2,PLAIN,Group,RemainSelf,Group
12,3,PUNCT,.,RemainSelf,.
13,0,PLAIN,This,RemainSelf,This
13,1,PLAIN,species,RemainSelf,species
13,2,PLAIN,is,RemainSelf,is
13,3,PLAIN,endemic,RemainSelf,endemic
13,4,PLAIN,to,RemainSelf,to
13,5,PLAIN,Palau,RemainSelf,Palau
13,6,PUNCT,.,RemainSelf,.
14,0,PLAIN,Healthcare,RemainSelf,Healthcare
14,1,PLAIN,Technology,RemainSelf,Technology
14,2,PLAIN,Online,RemainSelf,Online
14,3,PUNCT,.,RemainSelf,.
15,0,PLAIN,He,RemainSelf,He
15,1,PLAIN,earned,RemainSelf,earned
15,2,PLAIN,fifteen,RemainSelf,fifteen
15,3,PLAIN,caps,RemainSelf,caps
15,4,PLAIN,for,RemainSelf,for
15,5,PLAIN,the,RemainSelf,the
15,6,PLAIN,Norwegian,RemainSelf,Norwegian
15,7,PLAIN,national,RemainSelf,national
15,8,PLAIN,team,RemainSelf,team
15,9,PUNCT,",",RemainSelf,","
15,10,PLAIN,scoring,RemainSelf,scoring
15,11,PLAIN,one,RemainSelf,one
15,12,PLAIN,goal,RemainSelf,goal
15,13,PUNCT,.,RemainSelf,.
16,0,PLAIN,Nikkei,RemainSelf,Nikkei
16,1,PLAIN,Business,RemainSelf,Business
16,2,PLAIN,Publications,RemainSelf,Publications
16,3,PUNCT,",",RemainSelf,","
16,4,PLAIN,inc,RemainSelf,inc
16,5,DATE,2008-09-30,ToBeNormalized,the thirtieth of september two thousand eight
16,6,PUNCT,.,RemainSelf,.
17,0,PLAIN,Freeman,RemainSelf,Freeman
17,1,PUNCT,",",RemainSelf,","
17,2,PLAIN,Scott,RemainSelf,Scott
17,3,PUNCT,(,RemainSelf,(
17,4,DATE,2005,ToBeNormalized,two thousand five
17,5,PUNCT,),RemainSelf,)
17,6,PUNCT,.,RemainSelf,.
18,0,PLAIN,Takeo,RemainSelf,Takeo
18,1,PLAIN,is,RemainSelf,is
18,2,PLAIN,ruler,RemainSelf,ruler
18,3,PLAIN,of,RemainSelf,of
18,4,PLAIN,the,RemainSelf,the
18,5,PLAIN,Three,RemainSelf,Three
18,6,PLAIN,Countries,RemainSelf,Countries
18,7,PUNCT,",",RemainSelf,","
18,8,PLAIN,and,RemainSelf,and
18,9,PLAIN,has,RemainSelf,has
18,10,PLAIN,three,RemainSelf,three
18,11,PLAIN,daughters,RemainSelf,daughters
18,12,PUNCT,.,RemainSelf,.
